Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
1,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,All India,BC,19225,19225,Round 1
2,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,All India,OPEN,13386,17031,Round 1
3,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(AF),40094,40094,Round 1
4,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(FF),92164,92164,Round 1
5,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(GIRL),43384,47020,Round 1
6,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC,31469,35324,Round 1
7,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(PH),320535,320535,Round 1
8,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS(GIRL),34199,35781,Round 1
9,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS,25371,27278,Round 1
10,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS(PH),629678,629678,Round 1
11,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(AF),32806,32806,Round 1
12,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(FF),44531,44531,Round 1
13,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN GIRL,25761,29145,Round 1
14,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN,19931,25325,Round 1
15,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(PH),156560,156560,Round 1
16,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC(AF),126739,126739,Round 1
17,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC(GIRL),128399,132166,Round 1
18,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC,73126,101991,Round 1
19,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,ST(GIRL),210299,210299,Round 1
20,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,ST,203825,203825,Round 1
