year,round,branch,category,quota,opening_rank,closing_rank
2023,Round 1,INFORMATION TECHNOLOGY,BC,All India,19225,19225
2023,Round 1,INFORMATION TECHNOLOGY,OPEN,All India,13386,17031
2023,Round 1,INFORMATION TECHNOLOGY,BC(AF),Home State,40094,40094
2023,Round 1,INFORMATION TECHNOLOGY,BC(FF),Home State,92164,92164
2023,Round 1,INFORMATION TECHNOLOGY,BC(GIRL),Home State,43384,47020
2023,Round 1,INFORMATION TECHNOLOGY,BC,Home State,31469,35324
2023,Round 1,INFORMATION TECHNOLOGY,BC(PH),Home State,320535,320535
2023,Round 1,INFORMATION TECHNOLOGY,EWS(GIRL),Home State,34199,35781
2023,Round 1,INFORMATION TECHNOLOGY,EWS,Home State,25371,27278
2023,Round 1,INFORMATION TECHNOLOGY,EWS(PH),Home State,629678,629678
2023,Round 1,INFORMATION TECHNOLOGY,OPEN(AF),Home State,32806,32806
2023,Round 1,INFORMATION TECHNOLOGY,OPEN(FF),Home State,44531,44531
2023,Round 1,INFORMATION TECHNOLOGY,OPEN GIRL,Home State,25761,29145
2023,Round 1,INFORMATION TECHNOLOGY,OPEN,Home State,19931,25325
2023,Round 1,INFORMATION TECHNOLOGY,OPEN(PH),Home State,156560,156560
2023,Round 1,INFORMATION TECHNOLOGY,SC(AF),Home State,126739,126739
2023,Round 1,INFORMATION TECHNOLOGY,SC(GIRL),Home State,128399,132166
2023,Round 1,INFORMATION TECHNOLOGY,SC,Home State,73126,101991
2023,Round 1,INFORMATION TECHNOLOGY,ST(GIRL),Home State,210299,210299
2023,Round 1,INFORMATION TECHNOLOGY,ST,Home State,203825,203825
2023,Round 1,INFORMATION TECHNOLOGY (FW),OPEN (TF),Home State,18818,23389
2023,Round 1,PLASTIC TECHNOLOGY,OPEN,All India,48429,54123
2023,Round 1,PLASTIC TECHNOLOGY,ST,All India,336555,336555
2023,Round 1,PLASTIC TECHNOLOGY,BC(AF),Home State,111880,111880
2023,Round 1,PLASTIC TECHNOLOGY,BC(GIRL),Home State,94614,101981
2023,Round 1,PLASTIC TECHNOLOGY,BC,Home State,76834,82882
2023,Round 1,PLASTIC TECHNOLOGY,EWS(GIRL),Home State,81295,81295
2023,Round 1,PLASTIC TECHNOLOGY,EWS,Home State,74899,77845
2023,Round 1,PLASTIC TECHNOLOGY,OPEN(AF),Home State,80486,80486
2023,Round 1,PLASTIC TECHNOLOGY,OPEN GIRL,Home State,56237,71244
2023,Round 1,PLASTIC TECHNOLOGY,OPEN,Home State,54193,71382
2023,Round 1,PLASTIC TECHNOLOGY,SC(GIRL),Home State,235247,280979
2023,Round 1,PLASTIC TECHNOLOGY,SC,Home State,161386,229857
2023,Round 1,PLASTIC TECHNOLOGY (FW),OPEN (TF),Home State,62882,73437
2023,Round 1,LEATHER TECHNOLOGY,OPEN,All India,55776,55776
2023,Round 1,LEATHER TECHNOLOGY,BC(GIRL),Home State,105540,107302
2023,Round 1,LEATHER TECHNOLOGY,BC,Home State,83083,86693
2023,Round 1,LEATHER TECHNOLOGY,EWS(GIRL),Home State,88002,88002
2023,Round 1,LEATHER TECHNOLOGY,EWS,Home State,82149,82149
2023,Round 1,LEATHER TECHNOLOGY,OPEN(AF),Home State,93593,93593
2023,Round 1,LEATHER TECHNOLOGY,OPEN GIRL,Home State,61862,78817
2023,Round 1,LEATHER TECHNOLOGY,OPEN,Home State,63302,74413
2023,Round 1,LEATHER TECHNOLOGY,SC,Home State,209468,240310
2023,Round 1,LEATHER TECHNOLOGY,ST,Home State,451915,451915
2023,Round 1,LEATHER TECHNOLOGY (FW),OPEN (TF),Home State,77487,77487
2023,Round 1,FOOD TECHNOLOGY,BC,All India,60948,60948
2023,Round 1,FOOD TECHNOLOGY,OPEN,All India,41369,41369
2023,Round 1,FOOD TECHNOLOGY,SC,All India,207044,207044
2023,Round 1,FOOD TECHNOLOGY,BC(AF),Home State,128943,128943
2023,Round 1,FOOD TECHNOLOGY,BC(GIRL),Home State,79032,99662
2023,Round 1,FOOD TECHNOLOGY,BC,Home State,70332,84583
2023,Round 1,FOOD TECHNOLOGY,EWS(GIRL),Home State,80020,80068
2023,Round 1,FOOD TECHNOLOGY,EWS,Home State,72419,78038
2023,Round 1,FOOD TECHNOLOGY,OPEN(AF),Home State,91208,91208
2023,Round 1,FOOD TECHNOLOGY,OPEN(FF),Home State,409914,409914
2023,Round 1,FOOD TECHNOLOGY,OPEN GIRL,Home State,51633,73581
2023,Round 1,FOOD TECHNOLOGY,OPEN,Home State,35234,68864
2023,Round 1,FOOD TECHNOLOGY,SC(AF),Home State,654021,654021
2023,Round 1,FOOD TECHNOLOGY,SC(GIRL),Home State,207902,270213
2023,Round 1,FOOD TECHNOLOGY,SC,Home State,164291,229585
2023,Round 1,FOOD TECHNOLOGY,ST(GIRL),Home State,387175,387175
2023,Round 1,FOOD TECHNOLOGY (FW),OPEN (TF),Home State,52403,62028
2023,Round 1,PAINT TECHNOLOGY,OPEN,All India,48820,50111
2023,Round 1,PAINT TECHNOLOGY,SC,All India,187121,187121
2023,Round 1,PAINT TECHNOLOGY,BC(AF),Home State,98661,98661
2023,Round 1,PAINT TECHNOLOGY,BC(GIRL),Home State,73754,89201
2023,Round 1,PAINT TECHNOLOGY,BC,Home State,66279,77693
2023,Round 1,PAINT TECHNOLOGY,EWS(GIRL),Home State,75460,75460
2023,Round 1,PAINT TECHNOLOGY,EWS,Home State,65861,72015
2023,Round 1,PAINT TECHNOLOGY,OPEN(AF),Home State,84467,84467
2023,Round 1,PAINT TECHNOLOGY,OPEN GIRL,Home State,55433,65193
2023,Round 1,PAINT TECHNOLOGY,OPEN,Home State,45793,65849
2023,Round 1,PAINT TECHNOLOGY,SC(AF),Home State,439890,439890
2023,Round 1,PAINT TECHNOLOGY,SC(GIRL),Home State,237107,238408
2023,Round 1,PAINT TECHNOLOGY,SC,Home State,159825,181370
2023,Round 1,PAINT TECHNOLOGY,ST,Home State,351657,351657
2023,Round 1,PAINT TECHNOLOGY (FW),OPEN (TF),Home State,49720,57302
2023,Round 1,CIVIL ENGG.,BC,All India,61607,61607
2023,Round 1,CIVIL ENGG.,OPEN,All India,37787,37787
2023,Round 1,CIVIL ENGG.,SC,All India,158485,158485
2023,Round 1,CIVIL ENGG.,BC(AF),Home State,77433,77433
2023,Round 1,CIVIL ENGG.,BC(FF),Home State,200704,200704
2023,Round 1,CIVIL ENGG.,BC(GIRL),Home State,71452,79689
2023,Round 1,CIVIL ENGG.,BC,Home State,54306,59956
2023,Round 1,CIVIL ENGG.,BC(PH),Home State,861246,861246
2023,Round 1,CIVIL ENGG.,EWS(AF),Home State,122531,122531
