year,canonical_branch,category,quota,seat_count
2025,COMPUTER SC. & ENGG.,OPEN,HOME STATE,20
2025,COMPUTER SC. & ENGG.,OPEN(GIRL),HOME STATE,6
2025,COMPUTER SC. & ENGG.,OPEN(PH),HOME STATE,2
2025,COMPUTER SC. & ENGG.,OPEN(AF),HOME STATE,2
2025,COMPUTER SC. & ENGG.,BC,HOME STATE,14
2025,COMPUTER SC. & ENGG.,BC(GIRL),HOME STATE,4
2025,COMPUTER SC. & ENGG.,BC(PH),HOME STATE,1
2025,COMPUTER SC. & ENGG.,BC(AF),HOME STATE,1
2025,COMPUTER SC. & ENGG.,BC(FF),HOME STATE,1
2025,COMPUTER SC. & ENGG.,SC,HOME STATE,10
2025,COMPUTER SC. & ENGG.,SC(GIRL),HOME STATE,3
2025,COMPUTER SC. & ENGG.,SC(PH),HOME STATE,1
2025,COMPUTER SC. & ENGG.,SC(FF),HOME STATE,1
2025,COMPUTER SC. & ENGG.,SC(AF),HOME STATE,1
2025,COMPUTER SC. & ENGG.,ST,HOME STATE,1
2025,COMPUTER SC. & ENGG.,EWS,HOME STATE,5
2025,COMPUTER SC. & ENGG.,EWS(GIRL),HOME STATE,1
2025,COMPUTER SC. & ENGG.,EWS(PH),HOME STATE,1
2025,COMPUTER SC. & ENGG.,OPEN,TFW,3
2025,COMPUTER SC. & ENGG.,OPEN,OTHER STATE,2
2025,COMPUTER SC. & ENGG.,BC,OTHER STATE,1
2025,INFORMATION TECHNOLOGY,OPEN,HOME STATE,20
2025,INFORMATION TECHNOLOGY,OPEN(GIRL),HOME STATE,6
2025,INFORMATION TECHNOLOGY,OPEN(AF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,OPEN(FF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,OPEN(PH),HOME STATE,1
2025,INFORMATION TECHNOLOGY,BC,HOME STATE,13
2025,INFORMATION TECHNOLOGY,BC(GIRL),HOME STATE,4
2025,INFORMATION TECHNOLOGY,BC(AF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,BC(FF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,BC(PH),HOME STATE,1
2025,INFORMATION TECHNOLOGY,SC,HOME STATE,10
2025,INFORMATION TECHNOLOGY,SC(GIRL),HOME STATE,3
2025,INFORMATION TECHNOLOGY,SC(AF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,SC(FF),HOME STATE,1
2025,INFORMATION TECHNOLOGY,SC(PH),HOME STATE,1
2025,INFORMATION TECHNOLOGY,ST,HOME STATE,1
2025,INFORMATION TECHNOLOGY,ST(GIRL),HOME STATE,1
2025,INFORMATION TECHNOLOGY,EWS,HOME STATE,5
2025,INFORMATION TECHNOLOGY,EWS(GIRL),HOME STATE,2
2025,INFORMATION TECHNOLOGY,EWS(PH),HOME STATE,1
2025,INFORMATION TECHNOLOGY,OPEN,TFW,3
2025,INFORMATION TECHNOLOGY,OPEN,OTHER STATE,2
2025,INFORMATION TECHNOLOGY,BC,OTHER STATE,1
2025,ELECTRONICS ENGG.,OPEN,HOME STATE,20
2025,ELECTRONICS ENGG.,OPEN(GIRL),HOME STATE,6
2025,ELECTRONICS ENGG.,OPEN(AF),HOME STATE,2
2025,ELECTRONICS ENGG.,OPEN(FF),HOME STATE,1
